Order_ID,Order_Date,Delivery_Date,Industry,Client_Name,Region,Salesperson,Product_Name,Product_Type,Quantity_MT,Unit_Price_INR,Unit_Cost_INR,Total_Revenue_INR,Total_Cost_INR,Gross_Profit_INR,Gross_Margin_Pct,Promised_Days,Actual_Days,Delay_Days,On_Time_Delivery,Quarter,Month
MRPL-1035,28-09-2023,30-10-2023,Iron & Steel,Tata Steel,Ahmedabad,Sunita Rao,Insulation Brick,Shaped,134,1900,1200,254600,160800,93800,36.84,29,32,3,No,Q3,Sep-23
MRPL-1036,15-02-2023,30-03-2023,Ceramic,H&R Johnson,Nagpur,Neha Gupta,High Alumina Brick,Shaped,5,4200,2800,21000,14000,7000,33.33,24,43,19,No,Q1,Feb-23
MRPL-1037,13-03-2024,27-03-2024,Iron & Steel,Jindal Steel,Surat,Vikram Patel,Gunning Mix,Unshaped,148,2600,1500,384800,222000,162800,42.31,14,14,0,Yes,Q1,Mar-24
MRPL-1038,01-06-2023,19-06-2023,Iron & Steel,SAIL,Mumbai,Vikram Patel,Chrome Magnesia Brick,Shaped,115,6200,4100,713000,471500,241500,33.87,18,18,0,Yes,Q2,Jun-23
MRPL-1039,29-12-2023,08-02-2024,Iron & Steel,Tata Steel,Chennai,Sunita Rao,Silica Brick,Shaped,204,3100,2000,632400,408000,224400,35.48,27,41,14,No,Q4,Dec-23
MRPL-1040,26-01-2023,11-03-2023,Glass,Saint Gobain,Vizag,Neha Gupta,Fireclay Brick,Shaped,50,2800,1800,140000,90000,50000,35.71,24,44,20,No,Q1,Jan-23
MRPL-1041,09-02-2023,03-03-2023,Ceramic,Kajaria Ceramics,Kolkata,Priya Singh,Silica Brick,Shaped,125,3100,2000,387500,250000,137500,35.48,21,22,1,No,Q1,Feb-23
MRPL-1042,06-11-2024,07-12-2024,Petrochemical,BPCL,Pune,Amit Sharma,Ramming Mass,Unshaped,74,2200,1300,162800,96200,66600,40.91,26,31,5,No,Q4,Nov-24
MRPL-1043,03-07-2024,17-07-2024,Iron & Steel,RINL,Ahmedabad,Priya Singh,Silica Brick,Shaped,89,3100,2000,275900,178000,97900,35.48,14,14,0,Yes,Q3,Jul-24
MRPL-1044,02-09-2024,17-10-2024,Petrochemical,IOC,Jamshedpur,Rajesh Kumar,Gunning Mix,Unshaped,116,2600,1500,301600,174000,127600,42.31,25,45,20,No,Q3,Sep-24
MRPL-1045,13-08-2024,04-09-2024,Glass,HNG Glass,Raipur,Priya Singh,Plastic Refractory,Unshaped,53,2900,1750,153700,92750,60950,39.66,22,22,0,Yes,Q3,Aug-24
MRPL-1046,17-11-2024,18-01-2025,Non-Ferrous,Sterlite,Export-Africa,Sunita Rao,Chrome Magnesia Brick,Shaped,75,6200,4100,465000,307500,157500,33.87,25,62,37,No,Q4,Nov-24
MRPL-1047,04-11-2023,13-12-2023,Iron & Steel,JSW Steel,Ahmedabad,Deepak Joshi,Plastic Refractory,Unshaped,184,2900,1750,533600,322000,211600,39.66,23,39,16,No,Q4,Nov-23
MRPL-1048,06-03-2024,17-04-2024,Cement,Dalmia Cement,Pune,Rajesh Kumar,Refractory Coating,Unshaped,175,2100,1200,367500,210000,157500,42.86,26,42,16,No,Q1,Mar-24
MRPL-1049,01-01-2023,27-01-2023,Glass,Borosil,Jamshedpur,Priya Singh,Chrome Magnesia Brick,Shaped,82,6200,4100,508400,336200,172200,33.87,23,26,3,No,Q1,Jan-23
MRPL-1050,07-06-2024,12-07-2024,Cement,Shree Cement,Bhopal,Sunita Rao,Mortar,Unshaped,126,1600,950,201600,119700,81900,40.62,19,35,16,No,Q2,Jun-24
MRPL-1051,19-08-2023,06-09-2023,Iron & Steel,Tata Steel,Ranchi,Sunita Rao,Low Cement Castable,Unshaped,55,3800,2300,209000,126500,82500,39.47,18,18,0,Yes,Q3,Aug-23
MRPL-1052,06-10-2024,14-11-2024,Iron & Steel,JSW Steel,Ranchi,Priya Singh,Plastic Refractory,Unshaped,209,2900,1750,606100,365750,240350,39.66,20,39,19,No,Q4,Oct-24
MRPL-1053,06-01-2023,11-02-2023,Non-Ferrous,Hindalco,Chennai,Sunita Rao,Mortar,Unshaped,197,1600,950,315200,187150,128050,40.62,17,36,19,No,Q1,Jan-23
MRPL-1054,13-09-2023,12-10-2023,Cement,Shree Cement,Raipur,Rajesh Kumar,Insulation Brick,Shaped,36,1900,1200,68400,43200,25200,36.84,28,29,1,No,Q3,Sep-23
MRPL-1055,15-07-2024,23-08-2024,Glass,Piramal Glass,Jamshedpur,Priya Singh,Mortar,Unshaped,119,1600,950,190400,113050,77350,40.62,19,39,20,No,Q3,Jul-24
MRPL-1056,11-10-2023,24-11-2023,Petrochemical,BPCL,Vizag,Neha Gupta,Ramming Mass,Unshaped,190,2200,1300,418000,247000,171000,40.91,29,44,15,No,Q4,Oct-23
MRPL-1057,10-12-2023,26-12-2023,Iron & Steel,SAIL,Surat,Amit Sharma,Low Cement Castable,Unshaped,118,3800,2300,448400,271400,177000,39.47,16,16,0,Yes,Q4,Dec-23
MRPL-1058,22-02-2024,29-03-2024,Iron & Steel,Tata Steel,Kolkata,Rajesh Kumar,Refractory Coating,Unshaped,89,2100,1200,186900,106800,80100,42.86,28,36,8,No,Q1,Feb-24
MRPL-1059,21-01-2023,28-03-2023,Iron & Steel,RINL,Export-Africa,Sanjay Tiwari,Mortar,Unshaped,200,1600,950,320000,190000,130000,40.62,26,66,40,No,Q1,Jan-23
MRPL-1060,05-03-2024,05-04-2024,Iron & Steel,Jindal Steel,Vizag,Neha Gupta,Ramming Mass,Unshaped,142,2200,1300,312400,184600,127800,40.91,21,31,10,No,Q1,Mar-24
MRPL-1061,26-11-2024,05-01-2025,Iron & Steel,Jindal Steel,Mumbai,Amit Sharma,Mortar,Unshaped,149,1600,950,238400,141550,96850,40.62,19,40,21,No,Q4,Nov-24
MRPL-1062,29-08-2024,12-09-2024,Cement,UltraTech Cement,Raipur,Neha Gupta,Chrome Magnesia Brick,Shaped,149,6200,4100,923800,610900,312900,33.87,14,14,0,Yes,Q3,Aug-24
MRPL-1063,02-12-2023,04-01-2024,Non-Ferrous,BALCO,Kolkata,Amit Sharma,Magnesia Brick,Shaped,81,5500,3600,445500,291600,153900,34.55,28,33,5,No,Q4,Dec-23
MRPL-1064,25-03-2023,26-04-2023,Cement,Shree Cement,Vizag,Amit Sharma,Ramming Mass,Unshaped,125,2200,1300,275000,162500,112500,40.91,14,32,18,No,Q1,Mar-23
MRPL-1065,29-10-2024,07-12-2024,Power,NTPC,Nagpur,Deepak Joshi,Gunning Mix,Unshaped,20,2600,1500,52000,30000,22000,42.31,14,39,25,No,Q4,Oct-24
MRPL-1066,16-11-2024,15-12-2024,Iron & Steel,Tata Steel,Kolkata,Rajesh Kumar,Chrome Magnesia Brick,Shaped,46,6200,4100,285200,188600,96600,33.87,20,29,9,No,Q4,Nov-24
MRPL-1067,28-04-2023,21-05-2023,Non-Ferrous,Sterlite,Jamshedpur,Sanjay Tiwari,Gunning Mix,Unshaped,46,2600,1500,119600,69000,50600,42.31,23,23,0,Yes,Q2,Apr-23
MRPL-1068,23-07-2023,13-08-2023,Power,Tata Power,Nagpur,Priya Singh,Plastic Refractory,Unshaped,24,2900,1750,69600,42000,27600,39.66,21,21,0,Yes,Q3,Jul-23
MRPL-1069,02-08-2024,10-09-2024,Non-Ferrous,BALCO,Jamshedpur,Deepak Joshi,Refractory Coating,Unshaped,15,2100,1200,31500,18000,13500,42.86,25,39,14,No,Q3,Aug-24
MRPL-1070,06-03-2024,02-04-2024,Cement,Ambuja Cement,Raipur,Rajesh Kumar,Low Cement Castable,Unshaped,130,3800,2300,494000,299000,195000,39.47,17,27,10,No,Q1,Mar-24
MRPL-1071,18-06-2024,24-07-2024,Fertilizer,Coromandel,Kolkata,Rajesh Kumar,Refractory Coating,Unshaped,171,2100,1200,359100,205200,153900,42.86,22,36,14,No,Q2,Jun-24
MRPL-1072,09-09-2023,24-10-2023,Glass,Piramal Glass,Hyderabad,Amit Sharma,Mortar,Unshaped,27,1600,950,43200,25650,17550,40.62,22,45,23,No,Q3,Sep-23
MRPL-1073,21-05-2024,21-06-2024,Cement,Shree Cement,Jamshedpur,Amit Sharma,Plastic Refractory,Unshaped,88,2900,1750,255200,154000,101200,39.66,19,31,12,No,Q2,May-24
MRPL-1074,10-10-2023,04-11-2023,Iron & Steel,RINL,Pune,Sunita Rao,Ramming Mass,Unshaped,202,2200,1300,444400,262600,181800,40.91,14,25,11,No,Q4,Oct-23
MRPL-1075,04-09-2023,18-10-2023,Ceramic,H&R Johnson,Surat,Priya Singh,Fireclay Brick,Shaped,181,2800,1800,506800,325800,181000,35.71,29,44,15,No,Q3,Sep-23
MRPL-1076,09-12-2024,17-01-2025,Non-Ferrous,Vedanta,Delhi,Amit Sharma,Low Cement Castable,Unshaped,92,3800,2300,349600,211600,138000,39.47,23,39,16,No,Q4,Dec-24
MRPL-1077,17-07-2024,30-08-2024,Power,Adani Power,Raipur,Priya Singh,Plastic Refractory,Unshaped,89,2900,1750,258100,155750,102350,39.66,25,44,19,No,Q3,Jul-24
MRPL-1078,20-11-2023,10-12-2023,Cement,UltraTech Cement,Chennai,Deepak Joshi,Ramming Mass,Unshaped,48,2200,1300,105600,62400,43200,40.91,19,20,1,No,Q4,Nov-23
MRPL-1079,21-06-2024,14-07-2024,Iron & Steel,RINL,Surat,Sanjay Tiwari,Ramming Mass,Unshaped,157,2200,1300,345400,204100,141300,40.91,23,23,0,Yes,Q2,Jun-24
MRPL-1080,26-12-2024,16-01-2025,Petrochemical,BPCL,Ahmedabad,Amit Sharma,Gunning Mix,Unshaped,194,2600,1500,504400,291000,213400,42.31,18,21,3,No,Q4,Dec-24
MRPL-1081,17-05-2024,13-06-2024,Iron & Steel,Tata Steel,Pune,Sunita Rao,Chrome Magnesia Brick,Shaped,31,6200,4100,192200,127100,65100,33.87,14,27,13,No,Q2,May-24
MRPL-1082,16-09-2023,24-10-2023,Iron & Steel,Tata Steel,Ahmedabad,Sanjay Tiwari,Mortar,Unshaped,127,1600,950,203200,120650,82550,40.62,17,38,21,No,Q3,Sep-23
MRPL-1083,30-07-2024,19-08-2024,Iron & Steel,JSW Steel,Jamshedpur,Rajesh Kumar,Low Cement Castable,Unshaped,82,3800,2300,311600,188600,123000,39.47,16,20,4,No,Q3,Jul-24
MRPL-1084,19-06-2024,28-07-2024,Iron & Steel,RINL,Jamshedpur,Amit Sharma,Plastic Refractory,Unshaped,102,2900,1750,295800,178500,117300,39.66,28,39,11,No,Q2,Jun-24
MRPL-1085,12-04-2023,19-05-2023,Iron & Steel,RINL,Jamshedpur,Rajesh Kumar,Ramming Mass,Unshaped,200,2200,1300,440000,260000,180000,40.91,20,37,17,No,Q2,Apr-23
MRPL-1086,10-06-2023,16-07-2023,Iron & Steel,Tata Steel,Chennai,Vikram Patel,Fireclay Brick,Shaped,5,2800,1800,14000,9000,5000,35.71,27,36,9,No,Q2,Jun-23
MRPL-1087,17-10-2023,14-11-2023,Non-Ferrous,Hindalco,Mumbai,Amit Sharma,Ramming Mass,Unshaped,253,2200,1300,556600,328900,227700,40.91,28,28,0,Yes,Q4,Oct-23
MRPL-1088,11-07-2024,03-08-2024,Non-Ferrous,Hindalco,Jamshedpur,Priya Singh,Refractory Coating,Unshaped,62,2100,1200,130200,74400,55800,42.86,18,23,5,No,Q3,Jul-24
MRPL-1089,05-08-2024,02-09-2024,Petrochemical,IOC,Kolkata,Vikram Patel,High Alumina Brick,Shaped,78,4200,2800,327600,218400,109200,33.33,28,28,0,Yes,Q3,Aug-24
MRPL-1090,20-05-2024,19-06-2024,Cement,Ambuja Cement,Hyderabad,Vikram Patel,Refractory Coating,Unshaped,117,2100,1200,245700,140400,105300,42.86,16,30,14,No,Q2,May-24
MRPL-1091,04-04-2023,07-05-2023,Iron & Steel,RINL,Ahmedabad,Amit Sharma,Refractory Coating,Unshaped,63,2100,1200,132300,75600,56700,42.86,14,33,19,No,Q2,Apr-23
MRPL-1092,29-10-2024,20-11-2024,Non-Ferrous,Hindalco,Mumbai,Priya Singh,Plastic Refractory,Unshaped,162,2900,1750,469800,283500,186300,39.66,22,22,0,Yes,Q4,Oct-24
MRPL-1093,26-04-2024,30-05-2024,Fertilizer,Coromandel,Ranchi,Sanjay Tiwari,Refractory Coating,Unshaped,94,2100,1200,197400,112800,84600,42.86,27,34,7,No,Q2,Apr-24
MRPL-1094,23-10-2023,09-12-2023,Cement,Shree Cement,Ahmedabad,Sunita Rao,Fireclay Brick,Shaped,240,2800,1800,672000,432000,240000,35.71,26,47,21,No,Q4,Oct-23
MRPL-1095,29-04-2023,19-06-2023,Glass,Borosil,Delhi,Amit Sharma,Magnesia Brick,Shaped,108,5500,3600,594000,388800,205200,34.55,30,51,21,No,Q2,Apr-23
MRPL-1096,29-09-2024,12-11-2024,Fertilizer,IFFCO,Mumbai,Vikram Patel,Mortar,Unshaped,198,1600,950,316800,188100,128700,40.62,29,44,15,No,Q3,Sep-24
MRPL-1097,22-10-2023,20-11-2023,Cement,Dalmia Cement,Pune,Rajesh Kumar,Fireclay Brick,Shaped,161,2800,1800,450800,289800,161000,35.71,29,29,0,Yes,Q4,Oct-23
MRPL-1098,19-07-2024,06-08-2024,Iron & Steel,SAIL,Kolkata,Vikram Patel,Insulation Brick,Shaped,109,1900,1200,207100,130800,76300,36.84,16,18,2,No,Q3,Jul-24
MRPL-1099,26-10-2023,25-11-2023,Fertilizer,IFFCO,Delhi,Priya Singh,Magnesia Brick,Shaped,186,5500,3600,1023000,669600,353400,34.55,22,30,8,No,Q4,Oct-23
MRPL-1100,15-07-2023,01-09-2023,Petrochemical,Reliance,Bhopal,Rajesh Kumar,Gunning Mix,Unshaped,158,2600,1500,410800,237000,173800,42.31,30,48,18,No,Q3,Jul-23
MRPL-1101,03-06-2024,21-06-2024,Petrochemical,ONGC,Vizag,Amit Sharma,Silica Brick,Shaped,73,3100,2000,226300,146000,80300,35.48,14,18,4,No,Q2,Jun-24
MRPL-1102,07-12-2023,11-01-2024,Non-Ferrous,Sterlite,Bhopal,Priya Singh,Gunning Mix,Unshaped,201,2600,1500,522600,301500,221100,42.31,26,35,9,No,Q4,Dec-23
MRPL-1103,25-02-2024,07-04-2024,Ceramic,Orient Bell,Chennai,Priya Singh,Insulation Brick,Shaped,16,1900,1200,30400,19200,11200,36.84,24,42,18,No,Q1,Feb-24
MRPL-1104,07-02-2023,03-04-2023,Power,NPCIL,Nagpur,Priya Singh,Mortar,Unshaped,37,1600,950,59200,35150,24050,40.62,30,55,25,No,Q1,Feb-23
MRPL-1105,16-01-2023,11-02-2023,Power,CESC,Delhi,Sanjay Tiwari,Magnesia Brick,Shaped,189,5500,3600,1039500,680400,359100,34.55,18,26,8,No,Q1,Jan-23
MRPL-1106,10-12-2024,17-01-2025,Petrochemical,IOC,Bhopal,Amit Sharma,High Alumina Brick,Shaped,146,4200,2800,613200,408800,204400,33.33,16,38,22,No,Q4,Dec-24
MRPL-1107,06-02-2023,24-02-2023,Cement,Shree Cement,Nagpur,Neha Gupta,Ramming Mass,Unshaped,163,2200,1300,358600,211900,146700,40.91,16,18,2,No,Q1,Feb-23
MRPL-1108,11-04-2023,07-05-2023,Non-Ferrous,BALCO,Surat,Priya Singh,Gunning Mix,Unshaped,199,2600,1500,517400,298500,218900,42.31,17,26,9,No,Q2,Apr-23
MRPL-1109,28-10-2023,30-11-2023,Iron & Steel,SAIL,Mumbai,Deepak Joshi,Low Cement Castable,Unshaped,132,3800,2300,501600,303600,198000,39.47,25,33,8,No,Q4,Oct-23
MRPL-1110,22-03-2023,01-05-2023,Iron & Steel,Tata Steel,Nagpur,Rajesh Kumar,Plastic Refractory,Unshaped,161,2900,1750,466900,281750,185150,39.66,26,40,14,No,Q1,Mar-23
MRPL-1111,18-09-2023,26-10-2023,Non-Ferrous,Hindalco,Kolkata,Priya Singh,Plastic Refractory,Unshaped,122,2900,1750,353800,213500,140300,39.66,22,38,16,No,Q3,Sep-23
MRPL-1112,28-03-2024,05-05-2024,Iron & Steel,RINL,Nagpur,Rajesh Kumar,Ramming Mass,Unshaped,93,2200,1300,204600,120900,83700,40.91,23,38,15,No,Q1,Mar-24
MRPL-1113,29-01-2024,19-02-2024,Fertilizer,Chambal Fertilizers,Ranchi,Rajesh Kumar,Mortar,Unshaped,128,1600,950,204800,121600,83200,40.62,17,21,4,No,Q1,Jan-24
MRPL-1114,05-11-2024,27-11-2024,Cement,Ambuja Cement,Pune,Rajesh Kumar,Plastic Refractory,Unshaped,146,2900,1750,423400,255500,167900,39.66,22,22,0,Yes,Q4,Nov-24
MRPL-1115,21-10-2023,17-11-2023,Power,Tata Power,Surat,Neha Gupta,Chrome Magnesia Brick,Shaped,86,6200,4100,533200,352600,180600,33.87,25,27,2,No,Q4,Oct-23
MRPL-1116,04-10-2024,23-10-2024,Non-Ferrous,Hindalco,Vizag,Sunita Rao,Refractory Coating,Unshaped,234,2100,1200,491400,280800,210600,42.86,15,19,4,No,Q4,Oct-24
MRPL-1117,30-10-2023,26-11-2023,Glass,Saint Gobain,Ahmedabad,Rajesh Kumar,Chrome Magnesia Brick,Shaped,121,6200,4100,750200,496100,254100,33.87,27,27,0,Yes,Q4,Oct-23
MRPL-1118,21-09-2023,03-11-2023,Iron & Steel,SAIL,Raipur,Neha Gupta,Plastic Refractory,Unshaped,128,2900,1750,371200,224000,147200,39.66,23,43,20,No,Q3,Sep-23
MRPL-1119,20-08-2023,10-10-2023,Petrochemical,BPCL,Delhi,Deepak Joshi,Magnesia Brick,Shaped,178,5500,3600,979000,640800,338200,34.55,26,51,25,No,Q3,Aug-23
MRPL-1120,03-07-2024,06-08-2024,Petrochemical,ONGC,Vizag,Rajesh Kumar,Low Cement Castable,Unshaped,36,3800,2300,136800,82800,54000,39.47,28,34,6,No,Q3,Jul-24
MRPL-1121,28-08-2023,25-09-2023,Non-Ferrous,Vedanta,Hyderabad,Rajesh Kumar,Plastic Refractory,Unshaped,125,2900,1750,362500,218750,143750,39.66,14,28,14,No,Q3,Aug-23
MRPL-1122,20-04-2024,28-05-2024,Petrochemical,HPCL,Chennai,Sunita Rao,Plastic Refractory,Unshaped,184,2900,1750,533600,322000,211600,39.66,23,38,15,No,Q2,Apr-24
MRPL-1123,29-04-2023,12-06-2023,Cement,Ambuja Cement,Mumbai,Sanjay Tiwari,High Alumina Brick,Shaped,29,4200,2800,121800,81200,40600,33.33,21,44,23,No,Q2,Apr-23
MRPL-1124,08-06-2023,16-07-2023,Power,CESC,Ahmedabad,Priya Singh,Mortar,Unshaped,111,1600,950,177600,105450,72150,40.62,17,38,21,No,Q2,Jun-23
MRPL-1125,31-03-2024,25-04-2024,Power,Adani Power,Mumbai,Amit Sharma,Ramming Mass,Unshaped,65,2200,1300,143000,84500,58500,40.91,25,25,0,Yes,Q1,Mar-24
MRPL-1126,10-10-2023,05-12-2023,Fertilizer,Chambal Fertilizers,Export-Africa,Rajesh Kumar,Plastic Refractory,Unshaped,73,2900,1750,211700,127750,83950,39.66,17,56,39,No,Q4,Oct-23
MRPL-1127,21-02-2023,14-03-2023,Iron & Steel,RINL,Nagpur,Sanjay Tiwari,Insulation Brick,Shaped,90,1900,1200,171000,108000,63000,36.84,21,21,0,Yes,Q1,Feb-23
MRPL-1128,10-08-2023,04-09-2023,Glass,Piramal Glass,Ranchi,Amit Sharma,High Alumina Brick,Shaped,64,4200,2800,268800,179200,89600,33.33,24,25,1,No,Q3,Aug-23
MRPL-1129,07-07-2024,26-07-2024,Glass,Saint Gobain,Ranchi,Sanjay Tiwari,Silica Brick,Shaped,69,3100,2000,213900,138000,75900,35.48,19,19,0,Yes,Q3,Jul-24
MRPL-1130,01-09-2023,25-09-2023,Non-Ferrous,Vedanta,Mumbai,Deepak Joshi,Fireclay Brick,Shaped,155,2800,1800,434000,279000,155000,35.71,24,24,0,Yes,Q3,Sep-23
MRPL-1131,07-03-2023,23-04-2023,Iron & Steel,Jindal Steel,Surat,Vikram Patel,Fireclay Brick,Shaped,126,2800,1800,352800,226800,126000,35.71,28,47,19,No,Q1,Mar-23
MRPL-1132,14-02-2023,22-03-2023,Cement,ACC,Raipur,Sanjay Tiwari,Magnesia Brick,Shaped,191,5500,3600,1050500,687600,362900,34.55,30,36,6,No,Q1,Feb-23
